titulo ,score,date
Persona 4 the Golden Animation,6.63,"Jul 11, 2014"
Psycho-Pass: Sinners of the System Case.1 - Tsumi to Bachi,7.12,"Jan 25, 2019"
Persona: Trinity Soul,6.57,"Jan 5, 2008"
Code Geass: Hangyaku no Lelouch I - Koudou,7.93,"Oct 21, 2017"
Sacred Seven,6.63,"Jul 3, 2011, 02:28 (JST)"
Urasekai Picnic,6.50,"Jan 4, 2021, 23:30 (JST)"
Sousei no Aquarion,7.11,"Apr 5, 2005"
.hack//Roots,6.90,"Apr 6, 2006"
Bubuki Buranki,6.29,"Jan 9, 2016, 22:00 (JST)"
Dragonaut: The Resonance,6.65,"Oct 4, 2007"
Steamboy,7.35,"Jul 17, 2004"
Mouretsu Pirates,7.17,"Jan 8, 2012, 00:30 (JST)"
Blue Gender,7.05,"Oct 8, 1999, 01:55 (JST)"
Gun x Sword,7.28,"Jul 4, 2005"
Caligula (TV),6.03,"Apr 8, 2018, 23:30 (JST)"
Gunslinger Stratos The Animation,6.08,"Apr 4, 2015, 23:30 (JST)"
Shisha no Teikoku,6.91,"Oct 2, 2015"
Final Fantasy: The Spirits Within,6.36,"Jul 2, 2001"
Appleseed (Movie),7.10,"Apr 17, 2004"
The Animatrix,7.30,"Jun 3, 2003"
Top wo Nerae 2! Diebuster,7.67,"Oct 3, 2004"
Vampire Hunter D,7.08,"Dec 21, 1985"
To LOVE-Ru Darkness 2nd OVA,7.57,"Jan 4, 2016"
Code Geass: Hangyaku no Lelouch III - Oudou,8.03,"May 26, 2018"
Aria the Natural,8.19,"Apr 3, 2006, 01:00 (JST)"
Ginga Eiyuu Densetsu: Die Neue These - Kaikou,7.70,"Apr 3, 2018, 21:00 (JST)"
Made in Abyss Movie 1: Tabidachi no Yoake,8.14,"Jan 4, 2019"
IS: Infinite Stratos 2 - World Purge-hen,6.93,"Nov 26, 2014"
Gatchaman Crowds Insight,7.29,"Jul 5, 2015, 01:55 (JST)"
Made in Abyss Movie 2: Hourou Suru Tasogare,8.34,"Jan 18, 2019"
Giniro no Kami no Agito,7.10,"Jan 7, 2006"
Digimon Adventure: Bokura no War Game!,7.77,"Mar 4, 2000"
Mardock Scramble: The First Compression,7.48,"Oct 8, 2010"
Mobile Suit Gundam: The 08th MS Team,8.03,"Jan 25, 1996"
Jyu Oh Sei,7.25,"Apr 14, 2006"
Tenchi Muyou!,7.44,"Apr 2, 1995"
Macross Δ,7.27,"Apr 3, 2016, 22:30 (JST)"
Bakuretsu Tenshi,6.81,"Apr 7, 2004, 02:12 (JST)"
Hybrid Child,7.67,"Oct 29, 2014"
